ConceptId	MapTarget
105514006	Z564
105515007	Z554
105516008	Z554
105517004	#NC
105518009	Z554
105519001	Z644
105520007	Z644
10552002	J984
105521000119109	G478
105521006	Z644
105522004	#NC
105523009	Z726
105524003	#NC
105525002	#NC
105526001	#NC
105527005	Z591
105529008	Z602
105530003	Z593
10553007	T452
105531004	Z591
105532006	#NC
105535008	#NC
105536009	Z591
105537000	Z591
105539002	#NC
105540000	#NC
105541001	#NC
105542008	#NC
105543003	#NC
105544009	#NC
105545005	#NC
105546006	F191
105549004	F181
105550004	Z864
105568001	Z651
105571009	#NC
105572002	#NC
105573007	#NC
105577008	Z598
105593004	E878
105597003	#HLT
105599000	D648
105600002	D71X
105601003	D728
105602005	D728
105603000	#HLT
105604006	D688
105606008	#HLT
10561000087108	T812
105611005	T143
105612003	T148
105615001	T091
105616000	#HLT
105618004	T140
105620001	#HLT
10562009	O16X
105624005	T399
105625006	T428
105626007	A498
105628008	#HLT
105629000	A749
105630005	B088
105631009	B338
105632002	B338
105633007	B348
105634001	B348
105635000	B333
105637008	#HLT
105638003	A070
105639006	A078
105640008	#HLT
10564005	D580
105641007	B608
105642000	A073
105643005	A078
105644004	A078
105645003	B601
105646002	B608
105647006	A078
105648001	B608
105649009	A078
105650009	#HLT
1056501000112102	N200
105651000119100	Z875
105651008	#NC
105652001	B600
105653006	B608
105654000	A072
105655004	B608
105656003	A078
105657007	B608
105658002	B608
105659005	#NC
10566007	H802
105661000119103	Z638
105661001	B668
105662008	B668
105663003	B668
105664009	B668
105665005	B668
105666006	B668
105667002	B668
105668007	B668
105669004	B668
10567003	Q971
105671004	B668
105672006	B660
105673001	B668
105674007	B668
105675008	B668
105676009	B668
105679002	B718
105680004	B718
10568008	S2241
105681000	B718
105682007	B718
105683002	B718
105684008	B719
105686005	B718
105688006	B718
105689003	B718
105690007	B718
105691006	B718
105692004	B718
105694003	B769
105695002	B838
105696001	B818
105697005	B818
105698000	B818
105699008	B818
105700009	B818
105701008	B818
105702001	B818
105703006	B818
105704000	B818
105705004	B818
105706003	B749
105707007	B838
105708002	B818
105709005	B818
10571000	T622
105710000	B818
105711001	B838
105713003	B838
105714009	B838
105715005	B99X
105716006	#HLT
105719004	#NC
105720005	#NC
10572007	Q917
105721009	#NC
105722002	#HLT
105723007	#NC
105724001	#NC
105725000	#NC
105726004	#HLT
105728003	#NC
105729006	#NC
10573002	O411
10575009	T08X1
105781000119102	#NC
105791000119104	#NC
105801000119103	#NC
10581000087102	T812
105811000119100	#NC
105812000	#NC
105821000119107	#NC
105841000119101	#NC
10586006	R457
10586006	Y96X
105881000119106	H278
10589004	#NC
1059007	B660
105901000119108	J90X
10593005	#NC
105955002	#NC
105956001	#NC
105957005	#NC
105958000	#NC
10596002	I739
105965008	L308
105967000	#HLT
105969002	M359
10597006	M719
105971000119103	R222
105972009	J348
105973004	J348
105974005	J348
105975006	J348
105977003	J848
105980002	I516
105981003	I518
105983000	I899
105985007	Q789
105986008	Q789
105987004	Q897
105988009	Q878
105989001	Q899
10599009	L308
105992002	#HLT
105994001	Q899
105995000	K089
105997008	K839
105999006	N281
106000008	E889
106000008	N084A
106001000119101	J209
106001000119101	J441
106002000	#HLT
106004004	#HLT
106005003	#HLT
106007006	#HLT
106008001	#HLT
106009009	O369
106010004	#HLT
10601006	M796
106011000	O368
106012007	#HLT
106013002	F989
106014008	F069
106015009	#HLT
106016005	#HLT
106018006	G319
106019003	#NC
106020009	#NC
10602004	R498
106021000119105	F011
106021000119105	I672
106021008	#NC
106022001	#NC
106023006	#NC
106024000	#HLT
106028002	#NC
106030000	#NC
106048009	#NC
106049001	#HLT
106050001	#NC
106051002	#NC
106058008	#HLT
106059000	#HLT
1060591000000103	#NC
106062002	#HLT
106063007	#NC
106064001	#NC
106066004	#NC
106067008	#NC
106068003	#NC
106070007	#HLT
106071000119106	E233
106076001	#NC
106077005	#HLT
10608000	T598
106089007	#NC
1060941000000102	#NC
1060961000000101	#NC
106098005	#HLT
106099002	#HLT
106100005	#HLT
1061000119101	E65X
106102002	#HLT
106104001	#NC
106106004	#NC
106109006	#NC
106111002	#HLT
106113004	#NC
106121005	#NC
106122003	#NC
106126000	R458
106129007	#NC
10613001	J632
106131003	#NC
106132005	#NC
106133000	#NC
106134006	R448
106136008	#NC
106137004	#NC
106138009	#NC
106139001	#HLT
10614007	E46X
106143002	#HLT
106144008	#HLT
106145009	#HLT
106146005	#NC
106147001	#HLT
106150003	#HLT
106151004	#NC
106152006	#HLT
106153001	#HLT
106154007	#HLT
106155008	#HLT
106156009	#HLT
106157000	#HLT
106158005	#HLT
106159002	#HLT
106160007	#HLT
106161006	#HLT
106162004	#HLT
106165002	#HLT
106167005	#HLT
106168000	#HLT
106169008	#HLT
106170009	#HLT
106175004	#HLT
106176003	Z964
106182000	#HLT
10619002	D520
106198007	#HLT
106199004	#HLT
106200001	#HLT
106221001	#NC
10623005	M850
10624281000119106	H011
10624401000119102	Z823
10624451000119103	Z824
10624491000119108	Z861
10624571000119106	M488
10624871000119109	Q829
10624911000119107	J108
10624911000119107	H671A
10624951000119108	J118
10624951000119108	H671A
10624991000119103	J158
10625031000119102	J158
10625071000119104	J159
10625111000119106	J155
10625151000119107	J154
10625191000119102	J153
10625231000119106	J14X
10625271000119109	J123
10625311000119109	J150
10625351000119105	J152
10625351000119105	B956
10625351000119105	U821
10625391000119100	J152
10625391000119100	B956
10625431000119105	J157
10625471000119108	J156
10625511000119104	J151
10625551000119103	J121
10625591000119108	J152
10625631000119108	J152
10625631000119108	B956
10625671000119106	J154
10625711000119105	J13X
10625751000119106	J129
10625791000119101	J680
10625831000119107	J954
10625911000119108	L270
10625951000119109	L271
10626002	I493
10626791000119106	L024
10626831000119100	L024
106281000119103	O243
10628231000119100	L030
10628271000119102	L030
10628471000119103	L030
10628511000119107	L240
10628551000119108	L245
10628591000119103	L245
10628631000119103	L248
10628671000119100	L235
10628711000119101	L237
10628751000119100	L237
10628791000119105	L010
10628871000119101	J118
10628911000119103	J108
10628951000119102	L040
10628991000119107	L040
10629009	R290
10629031000119100	L040
10629071000119102	L042
10629111000119109	L043
10629191000119100	J111
10629231000119109	J030
10629311000119107	L405D
10629311000119107	M071A
10629351000119108	J108
10629351000119108	I411A
10629391000119103	J303
10629431000119108	J303
10629471000119106	J303
10629511000119102	O995
10629511000119102	J310
10629791000119104	L031
10629831000119105	L031
10629871000119108	L031
10629911000119106	L031
10630511000119108	L030
10631000	Q331
10631000119105	O080
10631271000119109	L024
10631311000119109	L024
10631351000119105	L024
10631391000119100	L024
10631431000119105	L024
10631471000119108	L024
10631511000119104	L024
10631551000119103	L024
10631591000119108	L024
10631631000119108	L030
10631671000119106	L030
10631831000119107	L030
10631991000119104	L024
10632031000119109	L024
10632071000119107	L024
10632111000119100	L024
10632151000119104	L024
10632191000119109	L024
10632231000119100	L024
10632271000119102	L024
10632311000119102	L024
10632351000119101	L024
10632391000119106	L024
10632431000119101	L024
10632471000119103	L024
10632511000119107	L024
10632551000119108	L024
10632671000119100	L024
10632711000119101	L024
10632751000119100	L024
10632791000119105	L024
10632831000119104	L024
10632871000119101	L024
10632911000119103	L024
10632951000119102	L031
10632991000119107	L031
10633002	I500
10633031000119101	L031
10633071000119103	L031
10633271000119108	L031
10633311000119108	L031
10633431000119109	L031
10633471000119107	L031
10633511000119103	L031
10633551000119102	L031
10633591000119107	L030
10633631000119107	L030
10635431000119108	L97X
10636231000119104	L97X
10637031000119106	L890
10637071000119109	L891
106371000119109	M8966
106371000119109	B91X
